driver_id,date,day_of_week,stop_id,stop_name,lat,lng,visit_time,visit_hour,visit_duration_min,travel_time_min,traffic_mult,traffic_zone,stop_sequence,total_stops
D1,2026-01-02,4,L04,D-Mart Saharaganj,26.731802,81.041406,08:24,8,41,22.8,1.34,low_traffic,1,5
D1,2026-01-02,4,L08,V-Mart Chinhat,26.763974,80.863885,09:27,9,21,30.6,1.61,low_traffic,2,5
D1,2026-01-02,4,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,10:18,10,28,14.0,1.4,low_traffic,3,5
D1,2026-01-02,4,L06,Star Bazaar Rajajipuram,26.722052,81.068377,11:00,11,16,16.7,0.98,low_traffic,4,5
D1,2026-01-02,4,L05,Spencer's Indiranagar,26.87299,81.000299,11:32,11,22,11.2,1.02,medium_traffic,5,5
D1,2026-01-03,5,L05,Spencer's Indiranagar,26.87299,81.000299,08:34,8,23,21.6,1.66,medium_traffic,1,4
D1,2026-01-03,5,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,09:18,9,39,41.7,1.49,low_traffic,2,4
D1,2026-01-03,5,L04,D-Mart Saharaganj,26.731802,81.041406,10:38,10,36,45.8,1.58,low_traffic,3,4
D1,2026-01-03,5,L09,Vishal Mega Mart Golf City,26.795803,80.952637,11:59,11,34,9.2,1.02,medium_traffic,4,4
D1,2026-01-05,0,L04,D-Mart Saharaganj,26.731802,81.041406,09:41,9,33,24.5,1.53,low_traffic,1,5
D1,2026-01-05,0,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,10:38,10,19,35.5,1.42,medium_traffic,2,5
D1,2026-01-05,0,L09,Vishal Mega Mart Golf City,26.795803,80.952637,11:32,11,37,23.4,0.9,medium_traffic,3,5
D1,2026-01-05,0,L03,Reliance Fresh Aliganj,26.757265,80.856759,12:32,12,13,20.6,1.03,low_traffic,4,5
D1,2026-01-05,0,L08,V-Mart Chinhat,26.763974,80.863885,13:05,13,20,13.7,1.14,low_traffic,5,5
D1,2026-01-06,1,L05,Spencer's Indiranagar,26.87299,81.000299,09:24,9,24,35.2,1.6,medium_traffic,1,8
D1,2026-01-06,1,L09,Vishal Mega Mart Golf City,26.795803,80.952637,10:23,10,31,35.8,1.43,medium_traffic,2,8
D1,2026-01-06,1,L03,Reliance Fresh Aliganj,26.757265,80.856759,11:29,11,18,10.9,0.99,low_traffic,3,8
D1,2026-01-06,1,L04,D-Mart Saharaganj,26.731802,81.041406,11:57,11,43,16.5,1.03,low_traffic,4,8
D1,2026-01-06,1,L07,More Supermarket Mahanagar,26.933135,80.871408,12:56,12,19,10.8,0.98,low_traffic,5,8
D1,2026-01-06,1,L06,Star Bazaar Rajajipuram,26.722052,81.068377,13:25,13,15,26.2,1.19,low_traffic,6,8
D1,2026-01-06,1,L08,V-Mart Chinhat,26.763974,80.863885,14:06,14,20,20.6,1.29,low_traffic,7,8
D1,2026-01-06,1,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,14:46,14,12,30.0,1.25,medium_traffic,8,8
D1,2026-01-07,2,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,09:01,9,23,25.8,1.36,medium_traffic,1,7
D1,2026-01-07,2,L06,Star Bazaar Rajajipuram,26.722052,81.068377,09:49,9,18,13.0,1.45,low_traffic,2,7
D1,2026-01-07,2,L07,More Supermarket Mahanagar,26.933135,80.871408,10:20,10,16,17.4,1.74,low_traffic,3,7
D1,2026-01-07,2,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,10:53,10,40,16.7,1.67,low_traffic,4,7
D1,2026-01-07,2,L05,Spencer's Indiranagar,26.87299,81.000299,11:49,11,18,11.5,0.96,medium_traffic,5,7
D1,2026-01-07,2,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,12:18,12,13,24.5,0.98,medium_traffic,6,7
D1,2026-01-07,2,L08,V-Mart Chinhat,26.763974,80.863885,12:55,12,18,24.3,0.9,low_traffic,7,7
D1,2026-01-08,3,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,08:15,8,28,25.4,1.41,low_traffic,1,6
D1,2026-01-08,3,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,09:08,9,20,23.9,1.59,medium_traffic,2,6
D1,2026-01-08,3,L08,V-Mart Chinhat,26.763974,80.863885,09:51,9,23,14.1,1.41,low_traffic,3,6
D1,2026-01-08,3,L07,More Supermarket Mahanagar,26.933135,80.871408,10:28,10,16,24.3,1.62,low_traffic,4,6
D1,2026-01-08,3,L03,Reliance Fresh Aliganj,26.757265,80.856759,11:08,11,9,18.5,1.03,low_traffic,5,6
D1,2026-01-08,3,L06,Star Bazaar Rajajipuram,26.722052,81.068377,11:35,11,25,15.2,0.95,low_traffic,6,6
D1,2026-01-09,4,L08,V-Mart Chinhat,26.763974,80.863885,09:12,9,18,39.2,1.35,low_traffic,1,8
D1,2026-01-09,4,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,10:09,10,18,31.1,1.48,medium_traffic,2,8
D1,2026-01-09,4,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,10:58,10,38,15.6,1.73,low_traffic,3,8
D1,2026-01-09,4,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,11:51,11,12,27.4,0.98,medium_traffic,4,8
D1,2026-01-09,4,L07,More Supermarket Mahanagar,26.933135,80.871408,12:30,12,27,15.5,0.86,low_traffic,5,8
D1,2026-01-09,4,L05,Spencer's Indiranagar,26.87299,81.000299,13:12,13,19,19.1,1.27,medium_traffic,6,8
D1,2026-01-09,4,L06,Star Bazaar Rajajipuram,26.722052,81.068377,13:50,13,17,25.1,1.14,low_traffic,7,8
D1,2026-01-09,4,L03,Reliance Fresh Aliganj,26.757265,80.856759,14:32,14,15,18.9,1.18,low_traffic,8,8
D1,2026-01-10,5,L09,Vishal Mega Mart Golf City,26.795803,80.952637,08:26,8,37,21.6,1.54,medium_traffic,1,3
D1,2026-01-10,5,L03,Reliance Fresh Aliganj,26.757265,80.856759,09:24,9,14,22.8,1.75,low_traffic,2,3
D1,2026-01-10,5,L04,D-Mart Saharaganj,26.731802,81.041406,10:00,10,35,26.0,1.3,low_traffic,3,3
D1,2026-01-12,0,L04,D-Mart Saharaganj,26.731802,81.041406,09:03,9,39,30.6,1.33,low_traffic,1,8
D1,2026-01-12,0,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,10:12,10,13,42.2,1.76,medium_traffic,2,8
D1,2026-01-12,0,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,11:07,11,29,20.6,0.86,low_traffic,3,8
D1,2026-01-12,0,L06,Star Bazaar Rajajipuram,26.722052,81.068377,11:56,11,24,10.2,1.02,low_traffic,4,8
D1,2026-01-12,0,L03,Reliance Fresh Aliganj,26.757265,80.856759,12:30,12,14,12.9,0.86,low_traffic,5,8
D1,2026-01-12,0,L09,Vishal Mega Mart Golf City,26.795803,80.952637,12:56,12,34,22.6,0.87,medium_traffic,6,8
D1,2026-01-12,0,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,13:52,13,20,11.0,1.22,medium_traffic,7,8
D1,2026-01-12,0,L08,V-Mart Chinhat,26.763974,80.863885,14:23,14,21,32.5,1.12,low_traffic,8,8
D1,2026-01-13,1,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,09:20,9,28,17.6,1.76,low_traffic,1,7
D1,2026-01-13,1,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,10:05,10,12,39.8,1.53,medium_traffic,2,7
D1,2026-01-13,1,L08,V-Mart Chinhat,26.763974,80.863885,10:56,10,20,18.8,1.34,low_traffic,3,7
D1,2026-01-13,1,L07,More Supermarket Mahanagar,26.933135,80.871408,11:34,11,16,17.1,0.9,low_traffic,4,7
D1,2026-01-13,1,L09,Vishal Mega Mart Golf City,26.795803,80.952637,12:07,12,35,19.6,1.03,medium_traffic,5,7
D1,2026-01-13,1,L03,Reliance Fresh Aliganj,26.757265,80.856759,13:01,13,19,28.2,1.13,low_traffic,6,7
D1,2026-01-13,1,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,13:48,13,19,32.5,1.16,medium_traffic,7,7
D1,2026-01-14,2,L07,More Supermarket Mahanagar,26.933135,80.871408,09:18,9,20,48.0,1.6,low_traffic,1,5
D1,2026-01-14,2,L04,D-Mart Saharaganj,26.731802,81.041406,10:26,10,35,39.2,1.4,low_traffic,2,5
D1,2026-01-14,2,L06,Star Bazaar Rajajipuram,26.722052,81.068377,11:40,11,15,15.2,0.95,low_traffic,3,5
D1,2026-01-14,2,L10,Lulu Hypermarket Faizabad Road,26.829006,80.89192,12:10,12,15,18.3,0.87,medium_traffic,4,5
D1,2026-01-14,2,L01,Metro Cash & Carry Hazratganj,26.81408,81.063386,12:43,12,40,15.5,0.86,low_traffic,5,5
D1,2026-01-15,3,L02,Big Bazaar Gomti Nagar,26.907018,80.971851,08:34,8,20,25.1,1.32,medium_traffic,1,6
